month	day	value
0.0	0.0	0.0
0.0	1.0	69.91304347826087
0.0	2.0	194.125
0.0	3.0	217.66666666666666
0.0	4.0	154.86363636363637
0.0	5.0	53.36363636363637
0.0	6.0	85.375
0.0	7.0	162.57142857142858
0.0	8.0	99.04347826086956
0.0	9.0	191.04166666666666
0.0	10.0	56.34782608695652
0.0	11.0	154.0
0.0	12.0	203.29166666666666
0.0	13.0	264.9130434782609
0.0	14.0	372.7826086956522
0.0	15.0	138.22727272727272
0.0	16.0	83.41666666666667
0.0	17.0	112.15
0.0	18.0	66.17391304347827
0.0	19.0	112.375
0.0	20.0	33.130434782608695
0.0	21.0	129.45833333333334
0.0	22.0	257.10526315789474
0.0	23.0	130.43478260869566
0.0	24.0	175.33333333333334
0.0	25.0	136.3181818181818
0.0	26.0	33.125
0.0	27.0	52.30434782608695
0.0	28.0	89.36363636363636
0.0	29.0	27.652173913043477
0.0	30.0	43.291666666666664
1.0	0.0	103.29166666666667
1.0	1.0	183.70833333333334
1.0	2.0	155.8695652173913
1.0	3.0	36.869565217391305
1.0	4.0	45.391304347826086
1.0	5.0	88.95652173913044
1.0	6.0	37.34782608695652
1.0	7.0	44.666666666666664
1.0	8.0	143.70833333333334
1.0	9.0	162.5
1.0	10.0	62.0
1.0	11.0	50.208333333333336
1.0	12.0	157.43478260869566
1.0	13.0	288.1304347826087
1.0	14.0	335.4583333333333
1.0	15.0	164.125
1.0	16.0	42.75
1.0	17.0	67.70833333333333
1.0	18.0	265.6666666666667
1.0	19.0	181.125
1.0	20.0	279.4347826086956
1.0	21.0	198.91304347826087
1.0	22.0	94.18181818181819
1.0	23.0	198.3181818181818
1.0	24.0	104.1304347826087
1.0	25.0	31.666666666666668
1.0	26.0	40.708333333333336
1.0	27.0	162.58333333333334
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	0.0	73.5
2.0	1.0	86.21739130434783
2.0	2.0	49.375
2.0	3.0	41.34782608695652
2.0	4.0	144.08333333333334
2.0	5.0	246.0
2.0	6.0	282.39130434782606
2.0	7.0	170.6086956521739
2.0	8.0	40.25
2.0	9.0	48.391304347826086
2.0	10.0	56.09090909090909
2.0	11.0	85.28571428571429
2.0	12.0	89.08333333333333
2.0	13.0	129.04166666666666
2.0	14.0	146.69565217391303
2.0	15.0	250.5909090909091
2.0	16.0	226.625
2.0	17.0	71.8695652173913
2.0	18.0	134.95652173913044
2.0	19.0	125.70833333333333
2.0	20.0	77.91666666666667
2.0	21.0	77.83333333333333
2.0	22.0	66.625
2.0	23.0	106.34782608695652
2.0	24.0	162.54166666666666
2.0	25.0	140.20833333333334
2.0	26.0	139.65217391304347
2.0	27.0	188.47619047619048
2.0	28.0	193.0
2.0	29.0	220.16666666666666
2.0	30.0	199.52941176470588
3.0	0.0	81.80952380952381
3.0	1.0	55.458333333333336
3.0	2.0	50.458333333333336
3.0	3.0	85.16666666666667
3.0	4.0	91.95833333333333
3.0	5.0	40.75
3.0	6.0	43.5
3.0	7.0	129.36363636363637
3.0	8.0	210.17391304347825
3.0	9.0	191.8095238095238
3.0	10.0	182.63636363636363
3.0	11.0	40.27272727272727
3.0	12.0	53.19047619047619
3.0	13.0	75.89473684210526
3.0	14.0	215.45833333333334
3.0	15.0	105.91304347826087
3.0	16.0	113.73913043478261
3.0	17.0	181.35
3.0	18.0	94.15384615384616
3.0	19.0	93.13636363636364
3.0	20.0	100.5909090909091
3.0	21.0	76.95238095238095
3.0	22.0	84.04166666666667
