month	day	value
0.0	0.0	0.0
0.0	1.0	172.6086956521739
0.0	2.0	278.25
0.0	3.0	443.75
0.0	4.0	330.90909090909093
0.0	5.0	81.54545454545455
0.0	6.0	184.08333333333334
0.0	7.0	204.0
0.0	8.0	253.6086956521739
0.0	9.0	221.58333333333334
0.0	10.0	125.82608695652173
0.0	11.0	133.1
0.0	12.0	243.5
0.0	13.0	263.39130434782606
0.0	14.0	358.7826086956522
0.0	15.0	202.77272727272728
0.0	16.0	111.16666666666667
0.0	17.0	110.45
0.0	18.0	87.08695652173913
0.0	19.0	153.66666666666666
0.0	20.0	100.04347826086956
0.0	21.0	152.08333333333334
0.0	22.0	212.85
0.0	23.0	231.34782608695653
0.0	24.0	128.25
0.0	25.0	235.8181818181818
0.0	26.0	66.95833333333333
0.0	27.0	119.17391304347827
0.0	28.0	162.1818181818182
0.0	29.0	106.8695652173913
0.0	30.0	159.375
1.0	0.0	214.25
1.0	1.0	252.08333333333334
1.0	2.0	232.47826086956522
1.0	3.0	53.91304347826087
1.0	4.0	67.08695652173913
1.0	5.0	158.17391304347825
1.0	6.0	75.47826086956522
1.0	7.0	79.95833333333333
1.0	8.0	135.66666666666666
1.0	9.0	135.45833333333334
1.0	10.0	110.73913043478261
1.0	11.0	160.83333333333334
1.0	12.0	172.34782608695653
1.0	13.0	200.08695652173913
1.0	14.0	222.625
1.0	15.0	142.20833333333334
1.0	16.0	115.125
1.0	17.0	128.54166666666666
1.0	18.0	272.2916666666667
1.0	19.0	238.58333333333334
1.0	20.0	196.2173913043478
1.0	21.0	70.26086956521739
1.0	22.0	100.36363636363636
1.0	23.0	194.8181818181818
1.0	24.0	185.56521739130434
1.0	25.0	65.875
1.0	26.0	82.83333333333333
1.0	27.0	132.75
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	0.0	51.666666666666664
2.0	1.0	79.47826086956522
2.0	2.0	59.666666666666664
2.0	3.0	79.69565217391305
2.0	4.0	101.875
2.0	5.0	133.08333333333334
2.0	6.0	224.6086956521739
2.0	7.0	294.39130434782606
2.0	8.0	92.33333333333333
2.0	9.0	104.56521739130434
2.0	10.0	107.95454545454545
2.0	11.0	150.71428571428572
2.0	12.0	178.16666666666666
2.0	13.0	160.41666666666666
2.0	14.0	178.8695652173913
2.0	15.0	230.04545454545453
2.0	16.0	216.375
2.0	17.0	90.04347826086956
2.0	18.0	145.7826086956522
2.0	19.0	121.875
2.0	20.0	93.125
2.0	21.0	137.33333333333334
2.0	22.0	105.54166666666667
2.0	23.0	125.04347826086956
2.0	24.0	171.20833333333334
2.0	25.0	101.66666666666667
2.0	26.0	102.26086956521739
2.0	27.0	106.0
2.0	28.0	145.04545454545453
2.0	29.0	173.58333333333334
2.0	30.0	193.58333333333334
3.0	0.0	94.73913043478261
3.0	1.0	73.08333333333333
3.0	2.0	146.25
3.0	3.0	123.16666666666667
3.0	4.0	113.33333333333333
3.0	5.0	52.458333333333336
3.0	6.0	104.79166666666667
3.0	7.0	134.5
3.0	8.0	193.0
3.0	9.0	112.14285714285714
3.0	10.0	128.8181818181818
3.0	11.0	76.04545454545455
3.0	12.0	51.23809523809524
3.0	13.0	72.78947368421052
3.0	14.0	185.41666666666666
3.0	15.0	142.17391304347825
3.0	16.0	150.2608695652174
3.0	17.0	190.3
3.0	18.0	112.15384615384616
3.0	19.0	109.68181818181819
3.0	20.0	95.0
3.0	21.0	76.38095238095238
3.0	22.0	82.875
3.0	23.0	90.14285714285714
3.0	24.0	121.13636363636364
3.0	25.0	121.31818181818181
3.0	26.0	99.66666666666667
3.0	27.0	128.1904761904762
3.0	28.0	151.14285714285714
3.0	29.0	146.95454545454547
0.0	0.0	0.0
4.0	0.0	116.56521739130434
4.0	1.0	57.130434782608695
4.0	2.0	108.86363636363636
4.0	3.0	75.33333333333333
4.0	4.0	124.21739130434783
4.0	5.0	87.47826086956522
4.0	6.0	74.66666666666667
4.0	7.0	94.61538461538461
4.0	8.0	46.18181818181818
4.0	9.0	38.56521739130435
4.0	10.0	44.52173913043478
4.0	11.0	42.65217391304348
4.0	12.0	68.9090909090909
4.0	13.0	70.0
4.0	14.0	81.36363636363636
4.0	15.0	91.9090909090909
4.0	16.0	128.38095238095238
4.0	17.0	72.31818181818181
4.0	18.0	72.08695652173913
4.0	19.0	53.36363636363637
4.0	20.0	59.416666666666664
4.0	21.0	94.5909090909091
4.0	22.0	122.52173913043478
4.0	23.0	122.65217391304348
