month	day	value
0.0	0.0	0.0
0.0	1.0	92.21739130434783
0.0	2.0	177.04166666666666
0.0	3.0	227.08333333333334
0.0	4.0	160.27272727272728
0.0	5.0	62.31818181818182
0.0	6.0	115.5
0.0	7.0	144.14285714285714
0.0	8.0	174.0
0.0	9.0	209.45833333333334
0.0	10.0	114.43478260869566
0.0	11.0	114.55
0.0	12.0	188.95833333333334
0.0	13.0	379.0869565217391
0.0	14.0	243.6086956521739
0.0	15.0	208.0
0.0	16.0	80.54166666666667
0.0	17.0	126.45
0.0	18.0	92.65217391304348
0.0	19.0	131.91666666666666
0.0	20.0	96.65217391304348
0.0	21.0	146.875
0.0	22.0	190.85
0.0	23.0	169.7391304347826
0.0	24.0	163.20833333333334
0.0	25.0	187.86363636363637
0.0	26.0	59.666666666666664
0.0	27.0	88.43478260869566
0.0	28.0	98.27272727272727
0.0	29.0	55.0
0.0	30.0	72.5
1.0	0.0	170.16666666666666
1.0	1.0	193.33333333333334
1.0	2.0	196.30434782608697
1.0	3.0	83.08695652173913
1.0	4.0	54.73913043478261
1.0	5.0	144.52173913043478
1.0	6.0	106.52173913043478
1.0	7.0	46.083333333333336
1.0	8.0	115.875
1.0	9.0	248.41666666666666
1.0	10.0	100.17391304347827
1.0	11.0	125.08333333333333
1.0	12.0	127.6086956521739
1.0	13.0	274.4782608695652
1.0	14.0	195.83333333333334
1.0	15.0	196.33333333333334
1.0	16.0	79.75
1.0	17.0	116.41666666666667
1.0	18.0	127.83333333333333
1.0	19.0	100.33333333333333
1.0	20.0	147.47826086956522
1.0	21.0	233.56521739130434
1.0	22.0	94.5909090909091
1.0	23.0	156.54545454545453
1.0	24.0	164.17391304347825
1.0	25.0	64.08333333333333
1.0	26.0	63.666666666666664
1.0	27.0	97.66666666666667
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	0.0	128.33333333333334
2.0	1.0	125.6086956521739
2.0	2.0	75.45833333333333
2.0	3.0	56.91304347826087
2.0	4.0	81.54166666666667
2.0	5.0	144.375
2.0	6.0	192.30434782608697
2.0	7.0	203.82608695652175
2.0	8.0	71.20833333333333
2.0	9.0	62.69565217391305
2.0	10.0	97.68181818181819
2.0	11.0	128.64285714285714
2.0	12.0	117.625
2.0	13.0	100.04166666666667
2.0	14.0	146.69565217391303
2.0	15.0	222.5
2.0	16.0	175.875
2.0	17.0	111.73913043478261
2.0	18.0	191.3913043478261
2.0	19.0	223.04166666666666
2.0	20.0	109.54166666666667
2.0	21.0	109.70833333333333
2.0	22.0	89.95833333333333
2.0	23.0	108.08695652173913
2.0	24.0	158.70833333333334
2.0	25.0	133.83333333333334
2.0	26.0	109.47826086956522
2.0	27.0	285.6666666666667
2.0	28.0	232.5909090909091
2.0	29.0	208.83333333333334
2.0	30.0	138.33333333333334
3.0	0.0	93.69565217391305
3.0	1.0	91.04166666666667
3.0	2.0	72.54166666666667
3.0	3.0	135.54166666666666
3.0	4.0	150.20833333333334
3.0	5.0	58.875
3.0	6.0	80.375
3.0	7.0	114.5909090909091
3.0	8.0	146.34782608695653
3.0	9.0	233.61904761904762
3.0	10.0	210.0909090909091
3.0	11.0	64.18181818181819
3.0	12.0	65.80952380952381
3.0	13.0	118.3157894736842
3.0	14.0	204.95833333333334
3.0	15.0	97.91304347826087
3.0	16.0	114.17391304347827
3.0	17.0	180.3
3.0	18.0	130.46153846153845
3.0	19.0	109.5909090909091
3.0	20.0	129.54545454545453
3.0	21.0	119.85714285714286
3.0	22.0	144.875
